id,soc_broad_id,occ_code,title,description
121,79,19-1023,Zoologists and Wildlife Biologists,"Study the origins, behavior, diseases, genetics, and life processes of
animals and wildlife. May specialize in wildlife research and management.
May collect and analyze biological data to determine the environmental
effects of present and potential use of land and water habitats."
122,79,19-1029,"Biological Scientists, All Other",All biological scientists not listed separately.
123,80,19-1031,Conservation Scientists,"Manage, improve, and protect natural resources to maximize their use
without damaging the environment. May conduct soil surveys and develop
plans to eliminate soil erosion or to protect rangelands. May instruct
farmers, agricultural production managers, or ranchers in best ways to use
crop rotation, contour plowing, or terracing to conserve soil and water; in
the number and kind of livestock and forage plants best suited to
particular ranges; and in range and farm improvements, such as fencing and
reservoirs for stock watering. Excludes ""Zoologists and Wildlife
Biologists"" (19-1023) and ""Foresters"" (19-1032)."
124,80,19-1032,Foresters,"Manage public and private forested lands for economic, recreational, and
conservation purposes. May inventory the type, amount, and location of
standing timber, appraise the timber's worth, negotiate the purchase, and
draw up contracts for procurement. May determine how to conserve wildlife
habitats, creek beds, water quality, and soil stability, and how best to
comply with environmental regulations. May devise plans for planting and
growing new trees, monitor trees for healthy growth, and determine optimal
harvesting schedules."
125,81,19-1041,Epidemiologists,"Investigate and describe the determinants and distribution of disease,
disability, or health outcomes. May develop the means for prevention and
control."
126,81,19-1042,"Medical Scientists, Except Epidemiologists","Conduct research dealing with the understanding of human diseases and the
improvement of human health. Engage in clinical investigation, research and
development, or other related activities. Includes physicians, dentists,
pharmacologists, and medical pathologists who primarily conduct research.
Practitioners who primarily provide medical or dental care or dispense
drugs are included in ""Healthcare Diagnosing or Treating Practitioners""
(29-1000)."
127,82,19-1099,"Life Scientists, All Other",All life scientists not listed separately.
128,83,19-2011,Astronomers,"Observe, research, and interpret astronomical phenomena to increase basic
knowledge or apply such information to practical problems."
129,83,19-2012,Physicists,"Conduct research into physical phenomena, develop theories on the basis of
observation and experiments, and devise methods to apply physical laws and
theories. Excludes ""Biochemists and Biophysicists"" (19-1021)."
130,84,19-2021,Atmospheric and Space Scientists,"Investigate atmospheric phenomena and interpret meteorological data,
gathered by surface and air stations, satellites, and radar to prepare
reports and forecasts for public and other uses. Includes weather analysts
and forecasters whose functions require the detailed knowledge of
meteorology."
131,85,19-2031,Chemists,"Conduct qualitative and quantitative chemical analyses or experiments in
laboratories for quality or process control or to develop new products or
knowledge. Excludes ""Biochemists and Biophysicists"" (19-1021) and
""Geoscientists, Except Hydrologists and Geographers"" (19-2042)."
132,85,19-2032,Materials Scientists,"Research and study the structures and chemical properties of various
natural and synthetic or composite materials, including metals, alloys,
rubber, ceramics, semiconductors, polymers, and glass. Determine ways to
strengthen or combine materials or develop new materials with new or
specific properties for use in a variety of products and applications.
Includes glass scientists, ceramic scientists, metallurgical scientists,
and polymer scientists."
133,86,19-2041,"Environmental Scientists and Specialists, Including Health","Conduct research or perform investigation for the purpose of identifying,
abating, or eliminating sources of pollutants or hazards that affect either
the environment or public health. Using knowledge of various scientific
disciplines, may collect, synthesize, study, report, and recommend action
based on data derived from measurements or observations of air, food, soil,
water, and other sources. Excludes ""Zoologists and Wildlife Biologists""
(19-1023), ""Conservation Scientists"" (19-1031), ""Forest and Conservation
Technicians"" (19-4071), ""Occupational Health and Safety Specialists""
(19-5011), ""Fish and Game Wardens"" (33-3031), and ""Forest and Conservation
Workers"" (45-4011)."
134,86,19-2042,"Geoscientists, Except Hydrologists and Geographers","Study the composition, structure, and other physical aspects of the Earth.
May use geological, physics, and mathematics knowledge in exploration for
oil, gas, minerals, or underground water; or in waste disposal, land
reclamation, or other environmental problems. May study the Earth's
internal composition, atmospheres, and oceans, and its magnetic,
electrical, and gravitational forces. Includes mineralogists,
paleontologists, stratigraphers, geodesists, and seismologists."
